text,label
The tutorial was not stressful and felt practical.,positive
"Overall, the app looked pleasant and efficient for new users.",positive
"the tablet was smooth, reliable, AND friendly for most tasks.",positive
"the camera felt engaging, practical, and enjoyable from start to finish.",positive
"overall, the lesson was messy AND unclear for new users.",negative
"the game was limited, awkward, AND disappointing for new users.",negative
"the phone seemed engaging, practical, and enjoyable for daily use.",positive
The lesson was not unclear and stayed simple all day!,positive
"overall, the platform seemed messy and unclear during the demo.",negative
"the game was fast, stable, AND useful during the demo!",positive
"the laptop felt smooth, reliable, and friendly from start to finish.",positive
"the course seemed weak, unstable, and unreliable during the demo.",negative
"overall, the laptop was boring AND annoying for daily use.",negative
"The camera felt slow, buggy, and confusing for most tasks!",negative
"overall, the service looked clear and simple during the demo.",positive
"Overall, the course felt clear and simple for new users.",positive
"The website felt engaging, practical, and enjoyable for most tasks.",positive
"the service seemed engaging, practical, and enjoyable for most tasks.",positive
the lesson was not practical and stayed unclear!,negative
"The platform looked limited, awkward, and disappointing for daily use.",negative
"the camera looked smooth, reliable, and friendly during the demo.",positive
"the tablet was weak, unstable, AND unreliable for most tasks.",negative
"The course was limited, awkward, AND disappointing from start to finish.",negative
"the service seemed limited, awkward, and disappointing for most tasks.",negative
the laptop was not easy and became frustrating.,negative
"The service seemed slow, buggy, and confusing for new users!",negative
"the game was slow, buggy, AND confusing during the demo!",negative
"the lesson felt slow, buggy, and confusing for daily use!",negative
"overall, the tutorial was boring AND annoying during the demo.",negative
"The lesson looked weak, unstable, and unreliable for most tasks.",negative
"the lesson felt engaging, practical, and enjoyable during the demo.",positive
"the platform looked slow, buggy, and confusing from start to finish!",negative
the phone was not reliable and felt weak.,negative
"The course was engaging, practical, AND enjoyable from start to finish.",positive
"overall, the phone felt messy and unclear during the demo.",negative
"overall, the camera seemed clear and simple for new users.",positive
"the laptop looked limited, awkward, and disappointing for new users.",negative
"the course was slow, buggy, AND confusing for most tasks!",negative
"the platform felt smooth, reliable, and friendly for new users.",positive
the camera was not smooth and looked limited.,negative
"the phone seemed fast, stable, and useful from start to finish!",positive
"overall, the game felt boring and annoying for daily use.",negative
"The laptop looked fast, stable, and useful during the demo!",positive
"overall, the website was messy AND unclear from start to finish.",negative
"overall, the tutorial seemed pleasant and efficient from start to finish.",positive
"Overall, the service felt messy and unclear from start to finish.",negative
"the website felt fast, stable, and useful for new users!",positive
"Overall, the service felt pleasant and efficient from start to finish.",positive
"the laptop felt weak, unstable, and unreliable from start to finish.",negative
"the game was engaging, practical, AND enjoyable for new users.",positive
"The camera felt fast, stable, and useful for most tasks!",positive
"The phone was smooth, reliable, AND friendly for new users.",positive
"Overall, the camera was pleasant AND efficient for daily use.",positive
"overall, the phone looked clear and simple for most tasks.",positive
"overall, the phone felt pleasant and efficient during the demo.",positive
"the camera felt limited, awkward, and disappointing from start to finish.",negative
"The tablet seemed limited, awkward, and disappointing during the demo.",negative
"The lesson looked smooth, reliable, and friendly for most tasks.",positive
"the laptop looked engaging, practical, and enjoyable for new users.",positive
"overall, the tutorial seemed messy and unclear from start to finish.",negative
"overall, the game looked pleasant and efficient for most tasks.",positive
"The tablet seemed engaging, practical, and enjoyable during the demo.",positive
the course was not boring AND became engaging quickly.,positive
"the course was fast, stable, AND useful for most tasks!",positive
"The tutorial felt weak, unstable, and unreliable for daily use.",negative
"the platform felt weak, unstable, and unreliable for new users.",negative
"The app was fast, stable, AND useful for daily use!",positive
"Overall, the tablet looked boring and annoying from start to finish.",negative
"overall, the game looked messy and unclear for most tasks.",negative
the service was not friendly and felt disappointing.,negative
"The laptop looked slow, buggy, and confusing during the demo!",negative
The platform was not stable and remained messy.,negative
the tutorial was not simple and became stressful.,negative
"overall, the tablet felt pleasant and efficient for new users.",positive
"The website felt limited, awkward, and disappointing for most tasks.",negative
"the lesson felt limited, awkward, and disappointing during the demo.",negative
"overall, the course looked messy and unclear for daily use.",negative
"overall, the service looked boring and annoying during the demo.",negative
"the tablet seemed fast, stable, and useful for daily use!",positive
The tablet was not helpful and felt buggy!,negative
the camera was not limited and gave smooth results.,positive
"the tutorial looked engaging, practical, and enjoyable for most tasks.",positive
"the tutorial looked fast, stable, and useful for new users!",positive
"overall, the course looked pleasant and efficient for daily use.",positive
"the website looked smooth, reliable, and friendly for daily use.",positive
"overall, the website was pleasant AND efficient from start to finish.",positive
"Overall, the camera was messy AND unclear for daily use.",negative
"the course seemed smooth, reliable, and friendly during the demo.",positive
"overall, the lesson seemed clear and simple from start to finish.",positive
"the platform looked fast, stable, and useful from start to finish!",positive
"The tutorial felt smooth, reliable, and friendly for daily use.",positive
"the app seemed weak, unstable, and unreliable for most tasks.",negative
"the phone seemed slow, buggy, and confusing from start to finish!",negative
"Overall, the website seemed clear and simple during the demo.",positive
"overall, the lesson was pleasant AND efficient for new users.",positive
